,Hourly AC System Output (W),Hourly Plane of Array Irradiance (W/m2),Hourly Beam irradiance (W/m^2),Hourly Diffuse Irradiance (W/m2),Hourly Ambient Temperature (C),Hourly DC Array output (Wdc),Hourly Cell Temperature (C),Hourly Wind Speed (m/s)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
1,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,9.0
2,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,9.0
3,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,9.0
4,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,8.0
5,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,8.0
6,0.0,0.0,0.0,0.0,-3.0,0.0,-3.0,7.0
7,0.0,0.0,0.0,0.0,-3.0,0.0,-3.0,7.0
8,0.0,4.92,0.0,6.0,-2.0,20.051,-3.119,7.0
9,429.025,117.796,89.0,89.0,-2.0,458.66,-1.302,7.0
10,331.952,88.728,0.0,107.0,-2.0,359.424,-1.647,7.0
11,456.11,120.732,6.0,149.0,-2.0,486.365,-1.077,6.0
12,549.49,149.992,199.0,201.0,-2.0,581.937,-0.517,6.0
13,479.903,126.411,609.0,184.0,-2.0,510.707,-1.007,7.0
14,431.225,113.978,120.0,161.0,-2.0,460.909,-1.232,7.0
15,290.316,77.844,14.0,100.0,-3.0,316.889,-2.828,7.0
16,152.243,42.938,146.0,57.0,-4.0,175.959,-4.429,7.0
17,0.0,0.0,0.0,0.0,-4.0,0.0,-4.0,7.0
18,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0,7.0
19,0.0,0.0,0.0,0.0,-6.0,0.0,-6.0,7.0
20,0.0,0.0,0.0,0.0,-6.0,0.0,-6.0,7.0
21,0.0,0.0,0.0,0.0,-6.0,0.0,-6.0,7.0
22,0.0,0.0,0.0,0.0,-7.0,0.0,-7.0,7.0
23,0.0,0.0,0.0,0.0,-7.0,0.0,-7.0,7.0
24,0.0,0.0,0.0,0.0,-7.0,0.0,-7.0,8.0
25,0.0,0.0,0.0,0.0,-8.0,0.0,-8.0,8.0
26,0.0,0.0,0.0,0.0,-8.0,0.0,-8.0,8.0
27,0.0,0.0,0.0,0.0,-9.0,0.0,-9.0,7.0
28,0.0,0.0,0.0,0.0,-9.0,0.0,-9.0,7.0
29,0.0,0.0,0.0,0.0,-9.0,0.0,-9.0,7.0
30,0.0,0.0,0.0,0.0,-9.0,0.0,-9.0,7.0
31,0.0,0.0,0.0,0.0,-10.0,0.0,-10.0,6.0
32,427.54,116.661,158.0,36.0,-10.0,457.141,-9.274,6.0
33,237.161,62.624,0.0,73.0,-10.0,262.612,-10.074,6.0
34,451.174,116.216,18.0,134.0,-10.0,481.315,-9.199,6.0
35,549.758,142.807,41.0,172.0,-9.0,582.212,-7.66,6.0
36,568.162,147.283,79.0,198.0,-9.0,601.059,-7.357,5.0
37,522.358,134.021,116.0,194.0,-8.0,554.16,-6.612,5.0
38,426.904,110.178,19.0,143.0,-8.0,456.49,-7.105,5.0
39,308.579,80.799,91.0,110.0,-8.0,335.544,-7.674,4.0
40,143.9,39.998,439.0,48.0,-9.0,167.449,-9.661,4.0
41,0.0,0.0,0.0,0.0,-9.0,0.0,-9.0,4.0
42,0.0,0.0,0.0,0.0,-10.0,0.0,-10.0,4.0
43,0.0,0.0,0.0,0.0,-10.0,0.0,-10.0,4.0
44,0.0,0.0,0.0,0.0,-10.0,0.0,-10.0,4.0
45,0.0,0.0,0.0,0.0,-10.0,0.0,-10.0,3.0
46,0.0,0.0,0.0,0.0,-10.0,0.0,-10.0,3.0
47,0.0,0.0,0.0,0.0,-10.0,0.0,-10.0,3.0
48,0.0,0.0,0.0,0.0,-10.0,0.0,-10.0,3.0
49,0.0,0.0,0.0,0.0,-10.0,0.0,-10.0,2.0
50,0.0,0.0,0.0,0.0,-10.0,0.0,-10.0,2.0
51,0.0,0.0,0.0,0.0,-10.0,0.0,-10.0,2.0
52,0.0,0.0,0.0,0.0,-10.0,0.0,-10.0,2.0
53,0.0,0.0,0.0,0.0,-10.0,0.0,-10.0,2.0
54,0.0,0.0,0.0,0.0,-10.0,0.0,-10.0,2.0
55,0.0,0.0,0.0,0.0,-9.0,0.0,-9.0,2.0
56,499.647,138.963,226.0,34.0,-8.0,530.912,-6.274,2.0
57,267.283,71.022,2.0,81.0,-7.0,293.367,-6.7,2.0
58,484.964,128.237,40.0,138.0,-6.0,515.886,-4.306,2.0
59,723.199,239.419,802.0,112.0,-5.0,759.959,-0.528,3.0
60,358.492,120.925,832.0,114.0,-5.0,386.546,-3.203,3.0
61,312.172,83.063,815.0,113.0,-4.0,339.215,-3.595,4.0
62,285.915,76.421,772.0,101.0,-4.0,312.395,-3.83,4.0
63,230.416,62.468,679.0,79.0,-4.0,255.726,-4.179,3.0
64,137.692,39.073,460.0,47.0,-5.0,161.118,-5.943,2.0
65,0.0,0.0,0.0,0.0,-6.0,0.0,-6.0,2.0
66,0.0,0.0,0.0,0.0,-7.0,0.0,-7.0,2.0
67,0.0,0.0,0.0,0.0,-7.0,0.0,-7.0,2.0
68,0.0,0.0,0.0,0.0,-8.0,0.0,-8.0,3.0
69,0.0,0.0,0.0,0.0,-8.0,0.0,-8.0,3.0
70,0.0,0.0,0.0,0.0,-8.0,0.0,-8.0,3.0
71,0.0,0.0,0.0,0.0,-9.0,0.0,-9.0,3.0
72,0.0,0.0,0.0,0.0,-9.0,0.0,-9.0,3.0
73,0.0,0.0,0.0,0.0,-9.0,0.0,-9.0,3.0
74,0.0,0.0,0.0,0.0,-9.0,0.0,-9.0,3.0
75,0.0,0.0,0.0,0.0,-9.0,0.0,-9.0,3.0
76,0.0,0.0,0.0,0.0,-9.0,0.0,-9.0,3.0
77,0.0,0.0,0.0,0.0,-9.0,0.0,-9.0,4.0
78,0.0,0.0,0.0,0.0,-8.0,0.0,-8.0,4.0
79,0.0,0.0,0.0,0.0,-7.0,0.0,-7.0,4.0
80,153.433,44.242,31.0,27.0,-6.0,177.173,-6.746,4.0
81,1035.799,302.421,664.0,60.0,-4.0,1081.081,1.161,4.0
82,763.893,223.331,387.0,121.0,-1.0,801.706,2.423,5.0
83,641.712,202.941,519.0,133.0,0.0,676.411,2.562,6.0
84,446.513,134.14,454.0,162.0,0.0,476.546,1.499,5.0
85,394.462,106.041,450.0,156.0,1.0,423.316,1.832,5.0
86,341.17,92.271,422.0,132.0,1.0,368.843,1.513,5.0
87,193.535,54.142,558.0,70.0,0.0,218.086,-0.298,4.0
88,137.205,39.808,24.0,51.0,0.0,160.622,-0.706,4.0
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
93,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,4.0
94,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,4.0
95,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,4.0
96,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,4.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
100,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0
101,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
104,31.932,13.183,0.0,16.0,0.0,53.311,-1.233,5.0
105,64.569,21.424,0.0,26.0,0.0,86.568,-1.048,5.0
106,396.569,106.956,8.0,126.0,1.0,425.469,1.661,5.0
107,181.727,51.367,0.0,62.0,1.0,206.038,0.706,5.0
108,129.631,38.062,0.0,46.0,1.0,152.897,0.349,5.0
109,80.676,25.608,0.0,31.0,1.0,102.984,0.081,5.0
110,37.973,14.835,0.0,18.0,2.0,59.467,0.852,5.0
111,37.9,14.815,0.0,18.0,2.0,59.392,0.833,5.0
112,164.061,47.026,255.0,62.0,2.0,188.014,1.47,5.0
113,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0
114,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0
115,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0
116,0.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0
117,0.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0
118,0.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0
119,0.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0
120,0.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0
121,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0
122,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0
123,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0
